org_code,type,attendances,breaches,admissions
RD1,other,1078,15,99
RNZ,1,4028,326,1006
RNZ,2,305,0,0
Y02666,other,1386,0,0
RH5,other,7479,14,0
NTP11,other,4697,2,0
RW1,other,2320,12,8
NTPAD,other,4922,7,0
RTP,1,8347,386,2551
RDR,other,8713,139,0
RBA,1,5506,537,1687
AAH,other,196,0,0
RDZ,1,6452,360,1814
RDZ,2,1501,0,2
RA9,1,6153,408,2463
RA9,other,2836,0,0
RHM,1,8654,1130,3285
RHM,2,1551,11,17
RA7,1,9378,1888,2940
RA7,2,1908,37,13
RYR,1,11761,822,3325
RYR,other,986,6,0
RA3,1,4636,1331,1050
NDA56,other,2619,33,0
G82071,other,2081,0,0
NDA55,other,3152,18,0
NLX24,other,1413,14,0
RA4,1,3981,186,1083
